,sum_sq,df,F,PR(>F)
Intercept,19.891350746890385,1.0,8167.5952243319425,0.0
C(Modelo),1.2068774120499814,3.0,165.18546699758454,8.41328676829261e-92
C(Sensor),2.0721869617500017,2.0,425.43074495225227,2.1507018132356166e-145
C(Config),1.05594085601586,1.0,433.58028333598156,3.2542218666463505e-84
C(NumClases),0.5294675620039812,1.0,217.40488043721408,7.02659410400453e-46
C(Modelo):C(Sensor),0.5520923473194459,6.0,37.78247538117752,1.069042350933078e-42
C(Modelo):C(Config),0.5913827632777857,3.0,80.94263506053373,2.501649624156094e-48
C(Modelo):C(NumClases),0.5764276818333375,3.0,78.8957311349793,3.4178608846677857e-47
C(Sensor):C(Config),0.3788454935972297,2.0,77.77894733338147,8.953883352184882e-33
C(Sensor):C(NumClases),1.4212404938472225,2.0,291.78805446353215,7.9486238278037e-107
C(Config):C(NumClases),0.08334472711110613,1.0,34.22221063757258,6.09846151645243e-09
Residual,3.4460891527777786,1415.0,,
