group1,group2,meandiff,p-adj,lower,upper,reject,Sensor
CNN CAPTURE-24,CNN ESANN,-0.0313,0.1069,-0.0668,0.0043,False,H
CNN CAPTURE-24,Random Forest,0.0906,0.0,0.055,0.1261,True,H
CNN CAPTURE-24,XGBoost,0.0824,0.0,0.0469,0.118,True,H
CNN ESANN,Random Forest,0.1218,0.0,0.0863,0.1574,True,H
CNN ESANN,XGBoost,0.1137,0.0,0.0781,0.1492,True,H
Random Forest,XGBoost,-0.0081,0.9349,-0.0437,0.0274,False,H
CNN CAPTURE-24,CNN ESANN,-0.1368,0.0,-0.178,-0.0956,True,T
CNN CAPTURE-24,Random Forest,-0.0221,0.5093,-0.0634,0.0191,False,T
CNN CAPTURE-24,XGBoost,-0.0193,0.6216,-0.0605,0.0219,False,T
CNN ESANN,Random Forest,0.1146,0.0,0.0734,0.1558,True,T
CNN ESANN,XGBoost,0.1175,0.0,0.0762,0.1587,True,T
Random Forest,XGBoost,0.0028,0.998,-0.0384,0.044,False,T
CNN CAPTURE-24,CNN ESANN,-0.0554,0.0,-0.0823,-0.0285,True,W
CNN CAPTURE-24,Random Forest,0.0512,0.0,0.0242,0.0781,True,W
CNN CAPTURE-24,XGBoost,0.0543,0.0,0.0274,0.0812,True,W
CNN ESANN,Random Forest,0.1065,0.0,0.0796,0.1335,True,W
CNN ESANN,XGBoost,0.1097,0.0,0.0828,0.1366,True,W
Random Forest,XGBoost,0.0032,0.9902,-0.0237,0.0301,False,W
